gca	name	taxonomy	annotation_method	version_info	N50	fasta_file	gff_file
GCA_003019895	Coniella_GCA_003019895.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetidae;Diaporthales;Schizoparmaceae;Coniella;Coniella lustricola	NCBI GenBank	GCA_003019895.1	141282	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_003019895.1_Coniella_lustricola_v1.0_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_003019895.1_Coniella_lustricola_v1.0_genomic.gff
GCA_025526915	Entophlyctis_GCA_025526915.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Entophlyctis;Entophlyctis helioformis	NCBI GenBank	GCA_025526915.1	103262	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_025526915.1_Enthel1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_025526915.1_Enthel1_genomic.gff
GCA_000464535	Endocarpon_GCF_000464535.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Chaetothyriomycetidae;Verrucariales;Verrucariaceae;Endocarpon;Endocarpon pusillum;Endocarpon pusillum Z07020	NCBI RefSeq	GCF_000464535.1	177944	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_000464535.1_EPUS_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_000464535.1_EPUS_genomic.gff
GCA_027604605	Borealophlyctis_GCA_027604605.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Rhizophlyctidales;Borealophlyctidaceae;Borealophlyctis;Borealophlyctis nickersoniae	NCBI GenBank	GCA_027604605.1	16159	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027604605.1_ASM2760460v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027604605.1_ASM2760460v1_genomic.gff
GCA_003012165	Paramyrothecium_GCA_003012165.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Stachybotryaceae;Paramyrothecium;Paramyrothecium roridum	funannotate	GCA_003012165.1	54581	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003012165/GCA_003012165.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003012165/gene_prediction_results/predict_results/GCA_003012165.gff3
GCA_000442015	Rozella_GCA_000442015.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Cryptomycota;Cryptomycota incertae sedis;Rozella;Rozella allomycis;Rozella allomycis CSF55	NCBI GenBank	GCA_000442015.1	56534	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_000442015.1_Rozella_k41_t100_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_000442015.1_Rozella_k41_t100_genomic.gff
GCA_003184365	Evernia_GCA_003184365.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Lecanorales;Lecanorineae;Parmeliaceae;Evernia;Evernia prunastri	funannotate	GCA_003184365.1	264449	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003184365/GCA_003184365.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003184365/gene_prediction_results/predict_results/GCA_003184365.gff3
GCA_002104995	Linderina_GCF_002104995.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Zoopagomycota;Kickxellomycotina;Kickxellomycetes;Kickxellales;Kickxellaceae;Linderina;Linderina pennispora	NCBI RefSeq	GCF_002104995.1	908848	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_002104995.1_Linpe1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_002104995.1_Linpe1_genomic.gff
GCA_003705335	Priceomyces_GCA_003705335.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;CUG-Ser1 clade;Debaryomycetaceae;Priceomyces;Priceomyces medius	funannotate	GCA_003705335.1	970097	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003705335/GCA_003705335.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003705335/gene_prediction_results/predict_results/GCA_003705335.gff3
GCA_000467715	Hysterium_GCA_000467715.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Hysteriales;Hysteriaceae;Hysterium;Hysterium pulicare;Hysterium pulicare CBS 123377	funannotate	GCA_000467715.1	90260	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000467715/GCA_000467715.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000467715/gene_prediction_results/predict_results/GCA_000467715.gff3
GCA_000354255	Bipolaris_GCF_000354255.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleosporineae;Pleosporaceae;Bipolaris;Bipolaris maydis;Bipolaris maydis ATCC 48331	NCBI RefSeq	GCF_000354255.1	960244	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_000354255.1_CocheC4_1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_000354255.1_CocheC4_1_genomic.gff
GCA_001661425	Candida_GCA_001661425.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;Pichiaceae;Ogataea;Ogataea/Candida clade;[Candida] arabinofermentans;[Candida] arabinofermentans NRRL YB-2248	NCBI GenBank	GCA_001661425.1	698660	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_001661425.1_Canar1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_001661425.1_Canar1_genomic.gff
GCA_003313425	Pseudopyrenochaeta_GCA_003313425.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleosporineae;Pseudopyrenochaetaceae;Pseudopyrenochaeta;Pseudopyrenochaeta lycopersici	funannotate	GCA_003313425.1	1076669	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003313425/GCA_003313425.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003313425/gene_prediction_results/predict_results/GCA_003313425.gff3
GCA_000721755	Aureobasidium_GCF_000721755.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetidae;Dothideales;Saccotheciaceae;Aureobasidium;Aureobasidium subglaciale;Aureobasidium subglaciale EXF-2481	NCBI RefSeq	GCF_000721755.1	821213	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_000721755.1_Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_000721755.1_Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0_genomic.gff
GCA_000151645	Tuber_GCF_000151645.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;Pezizomycetes;Pezizales;Tuberaceae;Tuber;Tuber melanosporum	NCBI RefSeq	GCF_000151645.1	635738	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_000151645.1_ASM15164v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_000151645.1_ASM15164v1_genomic.gff
GCA_001642045	Paraphaeosphaeria_GCF_001642045.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Massarineae;Didymosphaeriaceae;Paraphaeosphaeria;Paraphaeosphaeria sporulosa	NCBI RefSeq	GCF_001642045.1	3089731	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_001642045.1_Parsp1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_001642045.1_Parsp1_genomic.gff
GCA_027600685	Geranomyces_GCA_027600685.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;Geranomyces;Geranomyces variabilis	NCBI GenBank	GCA_027600685.1	397273	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027600685.1_ASM2760068v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027600685.1_ASM2760068v1_genomic.gff
GCA_003086735	Smittium_GCA_003086735.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Zoopagomycota;Kickxellomycotina;Harpellomycetes;Harpellales;Legeriomycetaceae;Smittium;Smittium simulii	NCBI GenBank	GCA_003086735.1	77956	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_003086735.1_ASM308673v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_003086735.1_ASM308673v1_genomic.gff
GCA_000963775	Clonostachys_GCA_000963775.2	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Bionectriaceae;Clonostachys;Clonostachys rosea	funannotate	GCA_000963775.2	580363	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000963775/GCA_000963775.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000963775/gene_prediction_results/predict_results/GCA_000963775.gff3
GCA_000002525	Yarrowia_GCA_000002525.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia;Yarrowia lipolytica;Yarrowia lipolytica CLIB122	NCBI GenBank	GCA_000002525.1	3633025	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_000002525.1_ASM252v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_000002525.1_ASM252v1_genomic.gff
GCA_003671545	Ophiognomonia_GCA_003671545.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetidae;Diaporthales;Gnomoniaceae;Ophiognomonia;Ophiognomonia clavigignenti-juglandacearum	funannotate	GCA_003671545.1	160689	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003671545/GCA_003671545.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003671545/gene_prediction_results/predict_results/GCA_003671545.gff3
GCA_001662655	Pseudogymnoascus_GCF_001662655.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Leotiomycetes incertae sedis;Pseudeurotiaceae;Pseudogymnoascus;Pseudogymnoascus verrucosus	NCBI RefSeq	GCF_001662655.1	446170	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_001662655.1_ASM166265v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_001662655.1_ASM166265v1_genomic.gff
GCA_002083745	Rhizopus_GCA_002083745.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Rhizopodaceae;Rhizopus;Rhizopus microsporus;Rhizopus microsporus var. microsporus	NCBI GenBank	GCA_002083745.1	105542	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_002083745.1_Rhimi_ATCC52814_1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_002083745.1_Rhimi_ATCC52814_1_genomic.gff
GCA_000349385	Eutypa_GCA_000349385.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Diatrypaceae;Eutypa;Eutypa lata;Eutypa lata UCREL1	NCBI GenBank	GCA_000349385.1	68823	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_000349385.1_UCREL1V03_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_000349385.1_UCREL1V03_genomic.gff
GCA_027600675	Phlyctochytrium_GCA_027600675.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytridiaceae;Phlyctochytrium;Phlyctochytrium planicorne	NCBI GenBank	GCA_027600675.1	79884	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027600675.1_ASM2760067v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027600675.1_ASM2760067v1_genomic.gff
GCA_003013795	Elsinoe_GCA_003013795.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetidae;Myriangiales;Elsinoaceae;Elsinoe;Elsinoe australis	NCBI GenBank	GCA_003013795.1	897805	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_003013795.1_ASM301379v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_003013795.1_ASM301379v1_genomic.gff
GCA_025526935	Cladochytrium_GCA_025526935.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Cladochytriales;Cladochytriaceae;Cladochytrium;Cladochytrium replicatum	NCBI GenBank	GCA_025526935.1	394289	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_025526935.1_Clarep1_1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_025526935.1_Clarep1_1_genomic.gff
GCA_000516985	Pestalotiopsis_GCF_000516985.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Sporocadaceae;Pestalotiopsis;Pestalotiopsis fici;Pestalotiopsis fici W106-1	NCBI RefSeq	GCF_000516985.1	4003082	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_000516985.1_PFICI_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_000516985.1_PFICI_genomic.gff
GCA_027604185	Boothiomyces_GCA_027604185.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Rhizophydiales;Terramycetaceae;Boothiomyces;Boothiomyces macroporosus	NCBI GenBank	GCA_027604185.1	109397	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027604185.1_ASM2760418v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027604185.1_ASM2760418v1_genomic.gff
GCA_000151315	Capsaspora_GCA_000151315.2	cellular organisms;Eukaryota;Opisthokonta;Filasterea;Capsaspora;Capsaspora owczarzaki;Capsaspora owczarzaki ATCC 30864	funannotate	GCA_000151315.2	1612418	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000151315/GCA_000151315.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000151315/gene_prediction_results/predict_results/GCA_000151315.gff3
GCA_000002945	Schizosaccharomyces_GCA_000002945.2	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Taphrinomycotina;Schizosaccharomycetes;Schizosaccharomycetales;Schizosaccharomycetaceae;Schizosaccharomyces;Schizosaccharomyces pombe	funannotate	GCA_000002945.2	4539604	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000002945/GCA_000002945.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000002945/gene_prediction_results/predict_results/GCA_000002945.gff3
GCA_000002865	Monosiga_GCA_000002865.1	cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Craspedida;Salpingoecidae;Monosiga;Monosiga brevicollis;Monosiga brevicollis MX1	NCBI GenBank	GCA_000002865.1	1012013	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_000002865.1_V1.0_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_000002865.1_V1.0_genomic.gff
GCA_000182895	Coprinopsis_GCF_000182895.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Agaricineae;Psathyrellaceae;Coprinopsis;Coprinopsis cinerea;Coprinopsis cinerea okayama7#130	NCBI RefSeq	GCF_000182895.1	3468138	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_000182895.1_CC3_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_000182895.1_CC3_genomic.gff
GCA_000442125	Gyalolechia_GCA_000442125.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Teloschistales;Teloschistineae;Teloschistaceae;Caloplacoideae;Gyalolechia;Gyalolechia flavorubescens;Gyalolechia flavorubescens KoLRI002931	funannotate	GCA_000442125.1	1692590	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000442125/GCA_000442125.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000442125/gene_prediction_results/predict_results/GCA_000442125.gff3
GCA_027604085	Chytriomyces_GCA_027604085.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Chytriomyces;Chytriomyces hyalinus	NCBI GenBank	GCA_027604085.1	41827	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027604085.1_ASM2760408v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027604085.1_ASM2760408v1_genomic.gff
GCA_027603655	Entophlyctis_GCA_027603655.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Entophlyctis;Entophlyctis luteolus	NCBI GenBank	GCA_027603655.1	16966	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027603655.1_ASM2760365v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027603655.1_ASM2760365v1_genomic.gff
