variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	k-samples	nk-samples	notes
HOG0002513	Belongs to the GMC oxidoreductase family=94; GMC oxidoreductase=10	E=56; J=48
HOG0006886	Major Facilitator Superfamily=88; integral membrane protein=33; Conserved hypothetical protein=8; Integral membrane protein=5; Major facilitator superfamily transporter=3; Transporter=2; Protein of unknown function (DUF3431)=1	U=139; S=1
HOG0001502	Methyltransferase domain=118; methyltransferase=77; Methyltransferase=39; -=17; UMTA methyltransferase family protein=15; LaeA-like methyltransferase=10; Methyltransferase domain-containing protein=8; Membrane bound O-acyl transferase family=1; AraC-like ligand binding domain=1	S=190; H=79; -=17
HOG0025756	lysr family regulatory protein=119; -=19; Transferase family=9; Lysr family regulatory protein=3; hydrolase family 92=1; Pfam:DUF2424=1; Carbohydrate esterase family 9=1	S=130; -=19; E=1; G=1; I=1; Q=1
HOG0029383	NAD(P)H-binding=44; NmrA-like family=17; -=15; Belongs to the GST superfamily=2	S=61; -=15; O=2
HOG0031139	-=16	-=16
HOG0010862	Mo-co oxidoreductase dimerisation domain=24; sulfite oxidase=15; Oxidoreductase molybdopterin binding domain=13; Sulfite oxidase=9; Oxidoreductase molybdopterin binding domain-containing protein=8; Nitrate reductase 1=2; Molybdopterin binding oxidoreductase=1	C=72
HOG0004348	NmrA-like family=106; NAD(P)H-binding=103; nmrA-like family=41; NAD dependent epimerase/dehydratase family=12; isoflavone reductase family protein=3; NAD-P-binding protein=2; NmrA family transcriptional regulator=2; Isoflavone reductase family protein=1; Isoflavone reductase=1	S=270; T=1
HOG0033894	-=28; Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family=1; Alcohol acetyltransferase=1; FAD binding domain=1	-=28; S=2; E=1
HOG0025535	Glutathione S-transferase, C-terminal domain=15; Glutathione S-transferase, N-terminal domain=10; glutathione s-transferase=10; Glutathione S-transferase=7; Belongs to the GST superfamily=7; Major Facilitator Superfamily=1; glutathione transferase activity=1; Glutathione S-Transferase=1	O=41; H=10; U=1
HOG0037504	-=8	-=8
HOG0031129	Adenylosuccinate lyase C-terminus=35; 3-carboxy-cis,cis-muconate cycloisomerase=21; Major royal jelly protein=1; Haloacid dehalogenase-like hydrolase=1	F=57; G=1
HOG0033896	Domain of unknown function (DUF4267)=24; -=6	S=24; -=6
HOG0033825	-=22	-=22
HOG0042105	-=5	-=5
HOG0029940	Glycoside hydrolase family 20 protein=13; Glycosyl hydrolase family 20, domain 2=5; Hydrolase=5; beta-N-hexosaminidase=4; Glycosyl hydrolase family 20=3; Glycosyl hydrolase family 20, catalytic domain=2; Glycoside hydrolase=2	G=34
HOG0033403	saponin hydrolase=28; to saponin hydrolase precursor=8; Saponin hydrolase=2	S=29; G=9
HOG0011221	Belongs to the class I-like SAM-binding methyltransferase superfamily. gTMT family=40; Mycolic acid cyclopropane synthetase=2	H=42
HOG0040500	Fungal specific transcription factor domain=4; -=2	S=4; -=2
