variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	k-samples	nk-samples	notes
N0.HOG0029206	3.03E-01	1.58E-08	6.83E-07	7.26E-01	1.39E-01	4.16E-01	GCA_000226115,GCA_000349385,GCA_000365145,GCA_000464535,GCA_000738655,GCA_000812885,GCA_000836435,GCA_000963775,GCA_001447215,GCA_001481775,GCA_001557505,GCA_001599595,GCA_001600455,GCA_001636725,GCA_001642045,GCA_001662655,GCA_001692735,GCA_001692915,GCA_002081935,GCA_002105025,GCA_002105095,GCA_002127715,GCA_002162545,GCA_002319055,GCA_002798055,GCA_002865625,GCA_002989075,GCA_003012165,GCA_003016335,GCA_003049485,GCA_003073855,GCA_003184365,GCA_003264845,GCA_003385255,GCA_003988795,GCA_003988815,GCA_003988945,GCA_900073065,GCA_900290415,GCA_900536445	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000146915,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000354255,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442125,GCA_000442885,GCA_000467715,GCA_000498615,GCA_000516985,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000812075,GCA_000836135,GCA_000836295,GCA_000968615,GCA_001179705,GCA_001270325,GCA_001510565,GCA_001513895,GCA_001563115,GCA_001566295,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001929475,GCA_001956345,GCA_002105105,GCA_002240705,GCA_002368545,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002818225,GCA_002916505,GCA_002927785,GCA_003013795,GCA_003019875,GCA_003019895,GCA_003118255,GCA_003144135,GCA_003313425,GCA_003574815,GCA_003610855,GCA_003671545,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003795315,GCA_003868215,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_004335205,GCA_900119595,GCA_900120095,GCA_900465125,GCA_900618795	
N0.HOG0034099	2.05E-01	4.31E-07	6.85E-07	7.84E-01	1.50E-01	4.16E-01	GCA_000226115,GCA_000349385,GCA_000354255,GCA_000365145,GCA_000464535,GCA_000516985,GCA_000611775,GCA_000836295,GCA_001447215,GCA_001599595,GCA_001600455,GCA_001662655,GCA_001956345,GCA_002105095,GCA_002162545,GCA_002798055,GCA_002927785,GCA_003049485,GCA_003073855,GCA_003184365,GCA_003264845,GCA_003313425,GCA_003574815,GCA_003671545,GCA_003795315,GCA_003988815,GCA_900290415	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000146915,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442125,GCA_000442885,GCA_000467715,GCA_000498615,GCA_000604185,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000738655,GCA_000812075,GCA_000812885,GCA_000836135,GCA_000836435,GCA_000963775,GCA_000968615,GCA_001179705,GCA_001270325,GCA_001481775,GCA_001510565,GCA_001513895,GCA_001557505,GCA_001563115,GCA_001566295,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001636725,GCA_001642045,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001692735,GCA_001692915,GCA_001929475,GCA_002081935,GCA_002105025,GCA_002105105,GCA_002127715,GCA_002240705,GCA_002319055,GCA_002368545,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002818225,GCA_002865625,GCA_002916505,GCA_002989075,GCA_003012165,GCA_003013795,GCA_003016335,GCA_003019875,GCA_003019895,GCA_003118255,GCA_003144135,GCA_003385255,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003868215,GCA_003988795,GCA_003988945,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_004335205,GCA_900073065,GCA_900119595,GCA_900120095,GCA_900465125,GCA_900536445,GCA_900618795	
N0.HOG0032049	2.35E-01	3.13E-09	6.95E-07	7.54E-01	1.45E-01	4.16E-01	GCA_000146915,GCA_000349385,GCA_000467715,GCA_000516985,GCA_000738655,GCA_000812075,GCA_000963775,GCA_001557505,GCA_001563115,GCA_001566295,GCA_001599595,GCA_001600455,GCA_001642045,GCA_002105025,GCA_002240705,GCA_002572855,GCA_003012165,GCA_003016335,GCA_003049485,GCA_003073855,GCA_003264845,GCA_003313425,GCA_003671545,GCA_003988795,GCA_003988815,GCA_003988945,GCA_004155245,GCA_004335205,GCA_900073065,GCA_900290415,GCA_900536445	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000226115,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000354255,GCA_000365145,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442125,GCA_000442885,GCA_000464535,GCA_000498615,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000812885,GCA_000836135,GCA_000836295,GCA_000836435,GCA_000968615,GCA_001179705,GCA_001270325,GCA_001447215,GCA_001481775,GCA_001510565,GCA_001513895,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001636725,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001662655,GCA_001692735,GCA_001692915,GCA_001929475,GCA_001956345,GCA_002081935,GCA_002105095,GCA_002105105,GCA_002127715,GCA_002162545,GCA_002319055,GCA_002368545,GCA_002374405,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002865625,GCA_002916505,GCA_002927785,GCA_002989075,GCA_003013795,GCA_003019875,GCA_003019895,GCA_003118255,GCA_003144135,GCA_003184365,GCA_003385255,GCA_003574815,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003795315,GCA_003868215,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004216415,GCA_900119595,GCA_900120095,GCA_900465125,GCA_900618795	
N0.HOG0010242	2.95E-01	1.38E-08	7.00E-07	7.55E-01	1.45E-01	4.16E-01	GCA_000146915,GCA_000261425,GCA_000338955,GCA_000354255,GCA_000365145,GCA_000385595,GCA_000467715,GCA_000498615,GCA_000516985,GCA_000836295,GCA_000836435,GCA_000963775,GCA_001270325,GCA_001447215,GCA_001563115,GCA_001599595,GCA_001600455,GCA_001636725,GCA_001642045,GCA_001660795,GCA_001662655,GCA_001692735,GCA_001692915,GCA_002081935,GCA_002105025,GCA_002105095,GCA_002319055,GCA_002927785,GCA_002989075,GCA_003016335,GCA_003019895,GCA_003073855,GCA_003184365,GCA_003264845,GCA_003313425,GCA_003671545,GCA_003795315,GCA_900073065,GCA_900618795	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000226115,GCA_000313485,GCA_000328475,GCA_000349385,GCA_000400465,GCA_000417875,GCA_000442125,GCA_000442885,GCA_000464535,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000738655,GCA_000812075,GCA_000812885,GCA_000836135,GCA_000968615,GCA_001179705,GCA_001481775,GCA_001510565,GCA_001513895,GCA_001557505,GCA_001566295,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001661345,GCA_001661425,GCA_001929475,GCA_001956345,GCA_002105105,GCA_002127715,GCA_002162545,GCA_002240705,GCA_002368545,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002865625,GCA_002916505,GCA_003012165,GCA_003013795,GCA_003019875,GCA_003049485,GCA_003118255,GCA_003144135,GCA_003385255,GCA_003574815,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003868215,GCA_003988795,GCA_003988815,GCA_003988945,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_004335205,GCA_900119595,GCA_900120095,GCA_900290415,GCA_900465125,GCA_900536445	
N0.HOG0003388	2.05E-01	1.61E-07	7.32E-07	7.47E-01	1.44E-01	4.15E-01	GCA_000226115,GCA_000349385,GCA_000354255,GCA_000464535,GCA_000467715,GCA_000516985,GCA_000721755,GCA_000812885,GCA_000963775,GCA_001599595,GCA_001600455,GCA_001636725,GCA_001692735,GCA_002081935,GCA_002105095,GCA_002162545,GCA_002916505,GCA_002927785,GCA_003013795,GCA_003016335,GCA_003073855,GCA_003184365,GCA_003264845,GCA_003671545,GCA_900073065,GCA_900536445,GCA_900618795	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000146915,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000365145,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442125,GCA_000442885,GCA_000498615,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000732205,GCA_000738655,GCA_000812075,GCA_000836135,GCA_000836295,GCA_000836435,GCA_000968615,GCA_001179705,GCA_001270325,GCA_001447215,GCA_001481775,GCA_001510565,GCA_001513895,GCA_001557505,GCA_001563115,GCA_001566295,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001642045,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001662655,GCA_001692915,GCA_001929475,GCA_001956345,GCA_002105025,GCA_002105105,GCA_002127715,GCA_002240705,GCA_002319055,GCA_002368545,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002865625,GCA_002989075,GCA_003012165,GCA_003019875,GCA_003019895,GCA_003049485,GCA_003118255,GCA_003144135,GCA_003313425,GCA_003385255,GCA_003574815,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003795315,GCA_003868215,GCA_003988795,GCA_003988815,GCA_003988945,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_004335205,GCA_900119595,GCA_900120095,GCA_900290415,GCA_900465125	
N0.HOG0028373	3.64E-01	1.34E-08	7.42E-07	6.50E-01	1.25E-01	4.15E-01	GCA_000182895,GCA_000225545,GCA_000349385,GCA_000354255,GCA_000385595,GCA_000442125,GCA_000464535,GCA_000467715,GCA_000516985,GCA_000738655,GCA_000812075,GCA_000836295,GCA_001179705,GCA_001447215,GCA_001481775,GCA_001513895,GCA_001557505,GCA_001563115,GCA_001566295,GCA_001599595,GCA_001600455,GCA_001604925,GCA_001630345,GCA_001642045,GCA_001660795,GCA_001662655,GCA_002081935,GCA_002105095,GCA_002368545,GCA_002572855,GCA_002798055,GCA_002865625,GCA_002927785,GCA_003016335,GCA_003049485,GCA_003073855,GCA_003118255,GCA_003184365,GCA_003264845,GCA_003671545,GCA_003790465,GCA_003795315,GCA_003988795,GCA_003990805,GCA_004155245,GCA_900073065,GCA_900536445,GCA_900618795	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000146915,GCA_000149925,GCA_000151645,GCA_000182925,GCA_000226115,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000365145,GCA_000400465,GCA_000417875,GCA_000442885,GCA_000498615,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000812885,GCA_000836135,GCA_000836435,GCA_000963775,GCA_000968615,GCA_001270325,GCA_001510565,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001619985,GCA_001636715,GCA_001636725,GCA_001661345,GCA_001661425,GCA_001692735,GCA_001692915,GCA_001929475,GCA_001956345,GCA_002105025,GCA_002105105,GCA_002127715,GCA_002162545,GCA_002240705,GCA_002319055,GCA_002374405,GCA_002591845,GCA_002778095,GCA_002818225,GCA_002916505,GCA_002989075,GCA_003012165,GCA_003013795,GCA_003019875,GCA_003019895,GCA_003144135,GCA_003313425,GCA_003385255,GCA_003574815,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003868215,GCA_003988815,GCA_003988945,GCA_004000055,GCA_004014935,GCA_004216415,GCA_004335205,GCA_900119595,GCA_900120095,GCA_900290415,GCA_900465125	
N0.HOG0032191	2.58E-01	1.21E-05	7.54E-07	7.17E-01	1.38E-01	4.15E-01	GCA_000349385,GCA_000365145,GCA_000385595,GCA_000611775,GCA_000721755,GCA_000732205,GCA_000738655,GCA_000836295,GCA_000836435,GCA_000963775,GCA_001557505,GCA_001563115,GCA_001599595,GCA_001600455,GCA_001630345,GCA_001660795,GCA_001662655,GCA_001956345,GCA_002081935,GCA_002105095,GCA_002127715,GCA_002319055,GCA_002368545,GCA_002865625,GCA_003012165,GCA_003016335,GCA_003049485,GCA_003073855,GCA_003184365,GCA_003988795,GCA_003988815,GCA_004155245,GCA_900073065,GCA_900536445	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000146915,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000226115,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000354255,GCA_000400465,GCA_000417875,GCA_000442125,GCA_000442885,GCA_000464535,GCA_000467715,GCA_000498615,GCA_000516985,GCA_000604185,GCA_000708205,GCA_000812075,GCA_000812885,GCA_000836135,GCA_000968615,GCA_001179705,GCA_001270325,GCA_001447215,GCA_001481775,GCA_001510565,GCA_001513895,GCA_001566295,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001636715,GCA_001636725,GCA_001642045,GCA_001661345,GCA_001661425,GCA_001692735,GCA_001692915,GCA_001929475,GCA_002105025,GCA_002105105,GCA_002162545,GCA_002240705,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002916505,GCA_002927785,GCA_002989075,GCA_003013795,GCA_003019875,GCA_003019895,GCA_003118255,GCA_003144135,GCA_003264845,GCA_003313425,GCA_003385255,GCA_003574815,GCA_003610855,GCA_003671545,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003795315,GCA_003868215,GCA_003988945,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004216415,GCA_004335205,GCA_900119595,GCA_900120095,GCA_900290415,GCA_900465125,GCA_900618795	
N0.HOG0002392	2.58E-01	7.47E-11	7.79E-07	8.11E-01	1.56E-01	4.14E-01	GCA_000146915,GCA_000349385,GCA_000354255,GCA_000442125,GCA_000467715,GCA_000498615,GCA_000516985,GCA_000732205,GCA_000836435,GCA_000963775,GCA_001447215,GCA_001481775,GCA_001557505,GCA_001563115,GCA_001566295,GCA_001599595,GCA_001600455,GCA_001642045,GCA_001692915,GCA_002081935,GCA_002105025,GCA_002105095,GCA_002989075,GCA_003012165,GCA_003016335,GCA_003049485,GCA_003073855,GCA_003313425,GCA_003385255,GCA_003988945,GCA_004335205,GCA_900073065,GCA_900536445,GCA_900618795	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000226115,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000365145,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442885,GCA_000464535,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000738655,GCA_000812075,GCA_000812885,GCA_000836135,GCA_000836295,GCA_000968615,GCA_001179705,GCA_001270325,GCA_001510565,GCA_001513895,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001636725,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001662655,GCA_001692735,GCA_001929475,GCA_001956345,GCA_002105105,GCA_002127715,GCA_002162545,GCA_002240705,GCA_002319055,GCA_002368545,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002865625,GCA_002916505,GCA_002927785,GCA_003013795,GCA_003019875,GCA_003019895,GCA_003118255,GCA_003144135,GCA_003184365,GCA_003264845,GCA_003574815,GCA_003610855,GCA_003671545,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003795315,GCA_003868215,GCA_003988795,GCA_003988815,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_900119595,GCA_900120095,GCA_900290415,GCA_900465125	
N0.HOG0029657	3.64E-01	1.14E-11	7.90E-07	7.01E-01	1.35E-01	4.14E-01	GCA_000182925,GCA_000225545,GCA_000226115,GCA_000338955,GCA_000349385,GCA_000354255,GCA_000385595,GCA_000442125,GCA_000464535,GCA_000467715,GCA_000516985,GCA_000604185,GCA_000732205,GCA_000812075,GCA_000812885,GCA_000963775,GCA_001270325,GCA_001447215,GCA_001481775,GCA_001557505,GCA_001563115,GCA_001566295,GCA_001600455,GCA_001692915,GCA_002081935,GCA_002105025,GCA_002105095,GCA_002162545,GCA_002240705,GCA_002368545,GCA_002798055,GCA_002927785,GCA_003012165,GCA_003016335,GCA_003019875,GCA_003019895,GCA_003049485,GCA_003073855,GCA_003118255,GCA_003184365,GCA_003264845,GCA_003574815,GCA_003671545,GCA_003795315,GCA_900073065,GCA_900290415,GCA_900465125,GCA_900618795	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000146915,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000365145,GCA_000400465,GCA_000417875,GCA_000442885,GCA_000498615,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000738655,GCA_000836135,GCA_000836295,GCA_000836435,GCA_000968615,GCA_001179705,GCA_001510565,GCA_001513895,GCA_001599595,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001636725,GCA_001642045,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001662655,GCA_001692735,GCA_001929475,GCA_001956345,GCA_002105105,GCA_002127715,GCA_002319055,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002818225,GCA_002865625,GCA_002916505,GCA_002989075,GCA_003013795,GCA_003144135,GCA_003313425,GCA_003385255,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003868215,GCA_003988795,GCA_003988815,GCA_003988945,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_004335205,GCA_900119595,GCA_900120095,GCA_900536445	
N0.HOG0042065	6.82E-02	9.69E-05	8.02E-07	1.23E+00	2.37E-01	4.14E-01	GCA_000226115,GCA_000349385,GCA_000516985,GCA_000963775,GCA_001447215,GCA_001557505,GCA_001600455,GCA_002081935,GCA_003795315	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000146915,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000354255,GCA_000365145,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442125,GCA_000442885,GCA_000464535,GCA_000467715,GCA_000498615,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000738655,GCA_000812075,GCA_000812885,GCA_000836135,GCA_000836295,GCA_000836435,GCA_000968615,GCA_001179705,GCA_001270325,GCA_001481775,GCA_001510565,GCA_001513895,GCA_001563115,GCA_001566295,GCA_001599595,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001636725,GCA_001642045,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001662655,GCA_001692735,GCA_001692915,GCA_001929475,GCA_001956345,GCA_002105025,GCA_002105095,GCA_002105105,GCA_002127715,GCA_002162545,GCA_002240705,GCA_002319055,GCA_002368545,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002865625,GCA_002916505,GCA_002927785,GCA_002989075,GCA_003012165,GCA_003013795,GCA_003016335,GCA_003019875,GCA_003019895,GCA_003049485,GCA_003073855,GCA_003118255,GCA_003144135,GCA_003184365,GCA_003264845,GCA_003313425,GCA_003385255,GCA_003574815,GCA_003610855,GCA_003671545,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003868215,GCA_003988795,GCA_003988815,GCA_003988945,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_004335205,GCA_900073065,GCA_900119595,GCA_900120095,GCA_900290415,GCA_900465125,GCA_900536445,GCA_900618795	
N0.HOG0007362	3.26E-01	1.51E-08	8.09E-07	7.05E-01	1.36E-01	4.14E-01	GCA_000002525,GCA_000146915,GCA_000151645,GCA_000349385,GCA_000354255,GCA_000467715,GCA_000516985,GCA_000738655,GCA_000812075,GCA_000812885,GCA_000963775,GCA_001447215,GCA_001566295,GCA_001599595,GCA_001600455,GCA_001642045,GCA_001692735,GCA_001692915,GCA_001956345,GCA_002081935,GCA_002105025,GCA_002105095,GCA_002368545,GCA_002927785,GCA_002989075,GCA_003012165,GCA_003016335,GCA_003073855,GCA_003118255,GCA_003184365,GCA_003313425,GCA_003385255,GCA_003671545,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003868215,GCA_003988795,GCA_003988945,GCA_004155245,GCA_004335205,GCA_900290415,GCA_900618795	GCA_000002945,GCA_000003515,GCA_000146045,GCA_000149925,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000226115,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000365145,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442125,GCA_000442885,GCA_000464535,GCA_000498615,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000836135,GCA_000836295,GCA_000836435,GCA_000968615,GCA_001179705,GCA_001270325,GCA_001481775,GCA_001510565,GCA_001513895,GCA_001557505,GCA_001563115,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001636725,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001662655,GCA_001929475,GCA_002105105,GCA_002127715,GCA_002162545,GCA_002240705,GCA_002319055,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002865625,GCA_002916505,GCA_003013795,GCA_003019875,GCA_003019895,GCA_003049485,GCA_003144135,GCA_003264845,GCA_003574815,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003795315,GCA_003988815,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004216415,GCA_900073065,GCA_900119595,GCA_900120095,GCA_900465125,GCA_900536445	
N0.HOG0032346	2.42E-01	1.71E-05	8.10E-07	7.25E-01	1.40E-01	4.14E-01	GCA_000182895,GCA_000225545,GCA_000442125,GCA_000516985,GCA_000836295,GCA_001179705,GCA_001270325,GCA_001481775,GCA_001600455,GCA_001619985,GCA_001630345,GCA_001642045,GCA_002105095,GCA_002162545,GCA_002778095,GCA_002865625,GCA_002927785,GCA_003012165,GCA_003019895,GCA_003073855,GCA_003118255,GCA_003184365,GCA_003264845,GCA_003385255,GCA_003574815,GCA_003671545,GCA_003868215,GCA_003988795,GCA_003988815,GCA_003988945,GCA_900073065,GCA_900536445	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000146915,GCA_000149925,GCA_000151645,GCA_000182925,GCA_000226115,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000349385,GCA_000354255,GCA_000365145,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442885,GCA_000464535,GCA_000467715,GCA_000498615,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000738655,GCA_000812075,GCA_000812885,GCA_000836135,GCA_000836435,GCA_000963775,GCA_000968615,GCA_001447215,GCA_001510565,GCA_001513895,GCA_001557505,GCA_001563115,GCA_001566295,GCA_001599595,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001636715,GCA_001636725,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001662655,GCA_001692735,GCA_001692915,GCA_001929475,GCA_001956345,GCA_002081935,GCA_002105025,GCA_002105105,GCA_002127715,GCA_002240705,GCA_002319055,GCA_002368545,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002798055,GCA_002818225,GCA_002916505,GCA_002989075,GCA_003013795,GCA_003016335,GCA_003019875,GCA_003049485,GCA_003144135,GCA_003313425,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003795315,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_004335205,GCA_900119595,GCA_900120095,GCA_900290415,GCA_900465125,GCA_900618795	
