genome	clade	large_clade	ploidy_status	morphology	bgcome_size
Heterobasidion_GCA_002994785.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1622088
Takashimella_GCA_003116875.1	Tremellomycetes	3. Dikarya	Dikaryotic	Some complex multicellularity	226010
Testicularia_GCA_003144125.1	Ustilaginomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	537183
Meira_GCF_003144205.1	Ustilaginomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	514512
Violaceomyces_GCA_003144235.1	Ustilaginomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	406239
Acaromyces_GCF_003144295.1	Ustilaginomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	1018648
Pleurotus_GCA_003313735.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1516745
Sarcodon_GCA_003313825.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	867279
Hygrophorus_GCA_003314125.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	445025
Albatrellus_GCA_003314395.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	314300
Coprinus_GCA_003316025.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	765022
Thelephora_GCA_003316405.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	306527
Hericium_GCA_003675405.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1556226
Saitozyma_GCA_003942215.1	Tremellomycetes	3. Dikarya	Dikaryotic	Some complex multicellularity	291366
Quambalaria_GCA_004016185.1	Ustilaginomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	586321
Candolleomyces_GCA_004126415.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	720353
Steccherinum_GCA_004332605.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1925954
Ceraceosorus_GCA_900000165.1	Ustilaginomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	903100
Thecaphora_GCA_900291925.1	Ustilaginomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	470550
