variant	af	filter-pvalue	lrt-pvalue	beta	key BGC proportion	BGC found proportion	eggnog annotations	Annotation	Annotation Category	eggnog cogs	Notes
HOG0027060	4.77E-01	3.08E-15	2.74E-07	7.21E-01	89.05%	89.78%	Tryptophan dimethylallyltransferase=52; part of the gene cluster that mediates the biosynthesis of neosartoricin, a prenylated anthracenone that exhibits T-cell antiproliferative activity, suggestive of a physiological role as an immunosuppressive agent. The non-reducing polyketide synthase nscA probably synthesizes and cyclizes the decaketide backbone. The hydrolase nscB then mediates the product release through hydrolysis followed by spontaneous decarboxylation. The prenyltransferase nscD catalyzes the addition of the dimethylallyl group to the aromatic C5. The FAD-dependent monooxygenase nscC is then responsible for the stereospecific hydroxylation at C2. There is no gene encoding O-acetyltransferase in the nsc gene cluster=14; tryptophan=12; Aromatic prenyltransferase, DMATS type=11; dimethylallyl tryptophan synthase=7; Dimethylallyl tryptophan synthase=4; Aromatic prenyltransferase=3; alkaloid metabolic process=2; part of the gene cluster that mediates the biosynthesis of neosartoricin B, a prenylated anthracenone that probably exhibits T-cell antiproliferative activity, suggestive of a physiological role as an immunosuppressive agent. The non-reducing polyketide synthase nscA probably synthesizes and cyclizes the decaketide backbone (By similarity). The hydrolase nscB then mediates the product release through hydrolysis followed by spontaneous decarboxylation (By similarity). The prenyltransferase nscD catalyzes the addition of the dimethylallyl group to the aromatic C5 (By similarity). The FAD-dependent monooxygenase nscC is then responsible for the stereospecific hydroxylation at C2 (By similarity). Neosartoricin B can be converted into two additional compounds neosartoricins C and D (By similarity). Neosartoricin C is a spirocyclic compound that is cyclized through the attack of C3 hydroxyl on C14, followed by dehydration (By similarity). On the other hand, neosartoricin D is a further cyclized compound in which attack of C2 on C14 in neosartoricin C results in the formation of the acetal-containing dioxabicyclo-octanone ring (By similarity). Both of these compounds are novel and possibly represent related metabolites of the gene cluster (By similarity)=2; Aromatic prenyl transferase=2; part of the gene cluster that mediates the biosynthesis of fungal ergot alkaloid. DmaW catalyzes the first step of ergot alkaloid biosynthesis by condensing dimethylallyl diphosphate (DMAP) and tryptophan to form 4-dimethylallyl-L-tryptophan. The second step is catalyzed by the methyltransferase easF that methylates 4-dimethylallyl-L-tryptophan in the presence of S- adenosyl-L-methionine, resulting in the formation of 4- dimethylallyl-L-abrine. The catalase easC and the FAD-dependent oxidoreductase easE then transform 4- dimethylallyl-L-abrine to chanoclavine-I which is further oxidized by easD in the presence of NAD( ), resulting in the formation of chanoclavine-I aldehyde. Chanoclavine-I aldehyde is the precursor of ergoamides and ergopeptines in Clavicipitaceae, and clavine-type alcaloids such as fumiclavine in Trichocomaceae. However, the metabolites downstream of chanoclavine-I aldehyde in Arthrodermataceae have not been identified yet=1; Can also prenylate other tryptophan-containing cyclic dipeptides. Prenylation occurs mainly at C-2, but also at C-3=1; Pyridoxamine 5'-phosphate oxidase=1	Tryptophan dimethylallyltransferase	Methyltransferase	H=93; E=14; S=5	
HOG0004590	1.21E-01	8.74E-05	2.62E-06	8.51E-01	0.00%	44.68%	O-methyltransferase=17; Dimerisation domain=4; Glycoside hydrolase family 29 protein=1	O-methyltransferase	Methyltransferase	S=13; Q=5; O=2; G=1; H=1	
HOG0001502	5.91E-01	3.41E-14	3.43E-06	6.97E-01	0.00%	23.17%	Methyltransferase domain=118; methyltransferase=77; Methyltransferase=39; -=17; UMTA methyltransferase family protein=15; LaeA-like methyltransferase=10; Methyltransferase domain-containing protein=8; Membrane bound O-acyl transferase family=1; AraC-like ligand binding domain=1	Methyltransferase domain	Methyltransferase	S=190; H=79; -=17	
HOG0011221	3.11E-01	4.99E-06	4.20E-06	7.12E-01	0.00%	9.30%	Belongs to the class I-like SAM-binding methyltransferase superfamily. gTMT family=40; Mycolic acid cyclopropane synthetase=2	Belongs to the class I-like SAM-binding methyltransferase superfamily. gTMT family	Methyltransferase	H=42	
HOG0026187	4.62E-01	8.37E-15	5.16E-08	7.95E-01	0.00%	11.45%	Alpha/beta hydrolase family=41; paf acetylhydrolase family protein=30; Platelet-activating factor acetylhydrolase, isoform II=24; Platelet-activating factor acetylhydrolase=11; PAF acetylhydrolase family protein=10; PAF acetylhydrolase=4; Chlorophyllase enzyme=2; Platelet-activating factor acetylhydrolase, plasma intracellular isoform II=1	alpha/beta hydrolase family	Hypothetical / other	G=92; I=23; S=7; M=1	
HOG0006190	4.17E-01	5.25E-10	5.61E-08	7.46E-01	11.58%	11.58%	alpha/beta hydrolase fold=40; Serine aminopeptidase, S33=22; Alpha/beta hydrolase family=18; Alpha beta hydrolase fold protein=5; Thioesterase domain=3; Alpha beta hydrolase=2; Function proposed based on presence of conserved amino acid motif, structural feature or limited homology=1	alpha/beta hydrolase fold	Hypothetical / other	I=83; S=8	
HOG0026808	6.29E-01	4.78E-17	2.65E-07	8.53E-01	3.38%	3.38%	alpha/beta hydrolase fold=60; Alpha/beta hydrolase family=26; homoserine acetyltransferase family protein=11; Homoserine O-acetyltransferase=11; Homoserine acetyltransferase family protein=8; Homoserine acetyltransferase=2; Alpha beta hydrolase fold=2; Transfers a succinyl group from succinyl-CoA to L- homoserine, forming succinyl-L-homoserine=1	alpha/beta hydrolase fold	Hypothetical / other	H=73; E=48	
HOG0032191	2.58E-01	1.21E-05	7.54E-07	7.17E-01	14.58%	16.67%	alpha/beta hydrolase fold=14; Alpha/beta hydrolase family=10; Serine aminopeptidase, S33=7; Alpha beta hydrolase=4; -=2	alpha/beta hydrolase fold	Hypothetical / other	S=31; I=4; -=2	
HOG0035492	1.82E-01	5.62E-07	2.52E-06	8.23E-01	NA	NA	-=26	alpha/beta fold hydrolase similar to Alcaligenes esterase 713 which does not contain the GXSXXG pentapeptide around the active site serine residue as commonly seen in other enzymes of this class and shows low sequence similarity to other esterase and lipase enzymes, is active as a dimer and cleaves esters on halogenated cyclic compounds (its natural substrate is unknown)	Hypothetical / other	-=26	from CDD search
HOG0009094	2.05E-01	6.94E-10	1.71E-08	9.53E-01	0.00%	11.36%	Belongs to the peptidase S1 family=57; serine-type endopeptidase activity=1	Belongs to the peptidase S1 family	Peptidase / protease	O=58	
HOG0034357	1.44E-01	1.41E-07	8.26E-08	9.89E-01	0.00%	10.00%	Alpha-lytic protease prodomain=21	Alpha-lytic protease prodomain	Peptidase / protease	O=21	
HOG0038617	1.21E-01	2.19E-06	1.26E-07	9.86E-01	NA	NA	-=6	Peptidase family S51	Peptidase / protease	-=6	
HOG0037617	1.44E-01	1.26E-05	5.37E-07	8.76E-01	NA	NA	Peptidase family S51=18; Major facilitator superfamily transporter=1	Peptidase family S51	Peptidase / protease	P=18; Q=18; S=1	
HOG0035767	1.36E-01	4.54E-06	1.34E-06	8.45E-01	0.00%	16.67%	Belongs to the peptidase A1 family=22; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family=1	Belongs to the peptidase A1 family	Peptidase / protease	O=22; P=1	
HOG0031796	3.56E-01	1.66E-08	1.46E-06	7.11E-01	1.79%	8.93%	Belongs to the peptidase M28 family=54; Belongs to the peptidase M28 family. M28B subfamily=1	Belongs to the peptidase M28 family	Peptidase / protease	O=34; E=21	
HOG0007702	2.95E-01	2.40E-12	1.54E-06	8.54E-01	0.00%	9.21%	Zn_pept=35; Carboxypeptidase=23; Zinc carboxypeptidase=7; Carboxypeptidase A=3; Zinc carboxypeptidase A 1 precursor=3; Peptidase M14=1	Zn_pept	Peptidase / protease	O=72	
HOG0027542	3.86E-01	2.65E-08	1.63E-06	6.64E-01	15.87%	17.46%	proline-specific peptidase protein=58; Serine aminopeptidase, S33=22; Proline-specific peptidase=16; alpha/beta hydrolase fold=14; Belongs to the peptidase S33 family=4; Major Facilitator Superfamily=2; Alpha/beta hydrolase family=1	proline-specific peptidase protein	Peptidase / protease	S=114; I=3	
HOG0032801	2.50E-01	3.09E-07	3.09E-06	6.59E-01	0.00%	11.11%	Belongs to the peptidase S1B family=15; Trypsin=10; -=4	Belongs to the peptidase S1B family	Peptidase / protease	O=20; E=5; -=4	
HOG0036238	1.36E-01	3.46E-06	3.25E-06	8.42E-01	0.00%	8.70%	Calpain family cysteine protease=12; Belongs to the peptidase C2 family=8; bacterial-type flagellum-dependent cell motility=3	Calpain family cysteine protease	Peptidase / protease	S=20; N=3; U=3	
HOG0003392	3.26E-01	3.29E-11	1.26E-08	7.77E-01	22.22%	27.78%	polyketide synthase=63; Enoylreductase=10; KR domain=6; Zinc-binding dehydrogenase=5; phosphopantetheine binding=4; PKS_DH=3; synthase=2; PKS_KR=2; -=2; Polyketide synthase=1; Polyketide synthase dehydratase=1	polyketide synthase	PKS	I=54; Q=44; -=2	
HOG0007950	4.32E-01	6.94E-13	1.35E-07	7.23E-01	51.78%	54.31%	polyketide synthase=26; Thioesterase domain=18; 6-methylsalicylic acid synthase=11; Beta-ketoacyl synthase=9; PKS_KR=5; Polyketide synthase dehydratase=5; Ketoacyl-synthetase C-terminal extension=2; Enoylreductase=2; Phosphopantetheine attachment site=2; synthase=2; Beta-ketoacyl synthase domain-containing protein=1; Beta-ketoacyl synthase, C-terminal domain=1	polyketide synthase	PKS	I=60; S=12; Q=9; H=6	
HOG0003388	2.05E-01	1.61E-07	7.32E-07	7.47E-01	4.55%	22.73%	polyketide synthase=9; Enoylreductase=2; Beta-ketoacyl synthase domain-containing protein=1; Phosphopantetheine attachment site=1	polyketide synthase	PKS	I=11; Q=4	
HOG0003159	6.82E-02	1.07E-03	2.53E-06	1.10E+00	93.90%	93.90%	polyketide synthase=8; PKS_KR=1; Beta-ketoacyl synthase=1; Catalyzes the first step in the D-alanylation of lipoteichoic acid (LTA), the activation of D-alanine and its transfer onto the D-alanyl carrier protein (Dcp) DltC. In an ATP- dependent two-step reaction, forms a high energy D-alanyl-AMP intermediate, followed by transfer of the D-alanyl residue as a thiol ester to the phosphopantheinyl prosthetic group of the Dcp. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall=1	polyketide synthase	PKS	I=9; Q=2	
HOG0002513	3.26E-01	1.90E-15	5.22E-14	1.05E+00	0.00%	22.22%	Belongs to the GMC oxidoreductase family=94; GMC oxidoreductase=10	Belongs to the GMC oxidoreductase family	Redox	E=56; J=48	
HOG0031756	2.42E-01	1.45E-10	4.16E-10	9.43E-01	0.00%	8.77%	FAD binding domain=10; fad fmn-containing dehydrogenase=10; D-arabinono-1,4-lactone oxidase=8; FAD FMN-containing dehydrogenase=5	FAD binding domain	Redox	V=33	
HOG0006779	4.02E-01	6.84E-11	2.22E-09	8.42E-01	0.00%	6.93%	Belongs to the oxygen-dependent FAD-linked oxidoreductase family=80; FAD-binding domain-containing protein=3; iron ion binding=1; Cytochrome P450=1; Berberine and berberine like=1	Belongs to the oxygen-dependent FAD-linked oxidoreductase family	Redox	C=64; O=20; Q=2	
HOG0031457	2.27E-01	1.84E-07	1.47E-08	8.24E-01	0.00%	5.17%	FAD binding domain=45	FAD binding domain	Redox	C=33; H=33; E=11; I=1	
HOG0002043	1.97E-01	3.32E-07	1.91E-08	8.75E-01	0.00%	7.41%	short chain dehydrogenase=17; KR domain=13; Enoyl-(Acyl carrier protein) reductase=2	short chain dehydrogenase	Redox	Q=32	
HOG0003838	3.41E-01	5.24E-14	2.23E-08	7.70E-01	20.90%	20.90%	Alcohol dehydrogenase GroES-like domain=29; alcohol dehydrogenase=16; zinc-binding=10; Zinc-binding dehydrogenase=3	Alcohol dehydrogenase GroES-like domain	Redox	C=58	
HOG0003844	4.02E-01	2.33E-08	5.90E-08	7.31E-01	4.85%	5.83%	Alcohol dehydrogenase GroES-like domain=47; Alcohol dehydrogenase, zinc-containing=24; Zinc-binding dehydrogenase=14; GroES-like protein=2; oxidoreductase activity=1; Sugar (and other) transporter=1; alcohol dehydrogenase=1	Alcohol dehydrogenase GroES-like domain	Redox	C=88; S=2	
HOG0004212	2.12E-01	4.17E-06	6.39E-08	7.89E-01	0.00%	5.98%	Enoyl-CoA hydratase/isomerase=26; Belongs to the enoyl-CoA hydratase isomerase family=5; enoyl-CoA hydratase activity=3; HMGL-like=2; enoyl-CoA delta isomerase 2=1; Enoyl-CoA hydratase=1	Enoyl-CoA hydratase/isomerase	Redox	I=37; C=1; E=1	
HOG0027897	3.64E-01	1.97E-12	8.10E-08	7.51E-01	0.00%	13.45%	short-chain protein=39; Dehydrogenase=29; short chain dehydrogenase=12; short-chain=12; short-chain dehydrogenase=9; KR domain=6; oxidation-reduction process=3; Encoded by=2; FAD linked oxidases, C-terminal domain=1; GMC oxidoreductase=1	short-chain protein	Redox	Q=112; I=3; C=1; E=1	
HOG0035751	1.67E-01	4.03E-06	1.67E-07	8.47E-01	0.00%	4.00%	FAD binding domain=6; Fungal specific transcription factor domain=5; -=4	FAD binding domain	Redox	C=6; L=5; -=4	
HOG0031014	3.94E-01	1.79E-10	1.88E-07	7.12E-01	1.59%	11.11%	Luciferase-like monooxygenase=38; monooxygenase=9; alkanesulfonate monooxygenase=7; Methanesulfonate monooxygenase=4; Alkanesulfonate monooxygenase=4; to alkanesulfonate monooxygenase=1	Luciferase-like monooxygenase	Redox	E=52; C=10; S=1	
HOG0001464	1.52E-01	2.20E-06	2.47E-07	9.01E-01	0.00%	25.71%	FAD binding domain=29; FAD binding=3; FAD binding domain-containing protein=1; zinc-binding=1	FAD binding domain	Redox	C=29; I=4; H=1; T=1	
HOG0004945	5.53E-01	1.67E-23	2.81E-07	9.50E-01	0.00%	7.87%	Aldo/keto reductase family=59; norsolorinic acid reductase=33; reductase=12; aldo-keto reductase=5; organic heteropentacyclic compound biosynthetic process=3; Norsolorinic acid reductase=2; oxidoreductase activity=2; (Gmc) oxidoreductase=1; GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain=1	Aldo/keto reductase family	Redox	C=116; E=1; B=1	
HOG0013354	1.36E-01	1.71E-05	4.10E-07	9.27E-01	0.00%	7.50%	oxidoreductase activity=14; Saccharopine dehydrogenase NADP binding domain=2; saccharopine dehydrogenase=1; Saccharopine dehydrogenase=1	oxidoreductase activity	Redox	S=18	
HOG0016226	5.98E-01	3.66E-14	4.10E-07	7.30E-01	16.78%	17.79%	Phytanoyl-CoA dioxygenase (PhyH)=221; Phytanoyl-CoA dioxygenase=12; Phytanoyl-CoA dioxygenase family protein=8; dioxygenase activity=6; dioxygenase=4; phytanoyl-CoA dioxygenase family protein=2; Catalyzes the conversion of fumitremorgin B to verruculogen=1; solute carrier family 22=1; terpenoid biosynthetic process=1; Toxin biosynthesis proten (Fum3)=1; S-adenosyl-L-methionine-dependent protein-lysine N- methyltransferase that mono- and dimethylates elongation factor 1- alpha at 'Lys-316'. May play a role in intracellular transport=1; Membrane transport protein=1	Phytanoyl-CoA dioxygenase (PhyH)	Redox	E=237; Q=15; S=5; G=1; M=1; J=1	
HOG0002392	2.58E-01	7.47E-11	7.79E-07	8.11E-01	5.26%	5.26%	zinc-binding dehydrogenase=16; Alcohol dehydrogenase GroES-like domain=10; Synaptic vesicle membrane protein VAT-1 homolog=8; Zinc-binding dehydrogenase=7; oxidoreductase activity=1	zinc-binding dehydrogenase	Redox	C=42	
HOG0026779	4.02E-01	1.88E-10	1.22E-06	7.33E-01	0.00%	21.09%	FAD binding=94; fad binding domain-containing protein=6; FAD binding domain-containing protein=5; Cytochrome p-450=5; FAD binding domain=4; COG0654 2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases=1	FAD binding	Redox	C=99; S=11; Q=5; H=3	
HOG0009688	2.35E-01	9.27E-07	1.28E-06	7.21E-01	0.00%	1.56%	FAD dependent oxidoreductase=29; D-amino acid oxidase=5	FAD dependent oxidoreductase	Redox	E=34	
HOG0003065	5.76E-01	7.92E-13	1.32E-06	6.89E-01	13.77%	13.77%	Alcohol dehydrogenase GroES-like domain=44; alcohol dehydrogenase=30; Zinc-binding dehydrogenase=16; Alcohol dehydrogenase GroES-like domain-containing protein=3; Dehydrogenase=1	Alcohol dehydrogenase GroES-like domain	Redox	Q=94	
HOG0000412	4.62E-01	4.73E-09	1.64E-06	6.46E-01	6.98%	6.98%	Enoyl-(Acyl carrier protein) reductase=19; short-chain dehydrogenase=14; 3-oxoacyl- acyl-carrier protein reductase=11; KR domain=10; short-chain dehydrogenase reductase=8; Short-chain dehydrogenase=2; to unnamed=2; Oxidoreductase, short-chain dehydrogenase reductase family=1	Enoyl-(Acyl carrier protein) reductase	Redox	Q=67	
HOG0009395	5.15E-01	1.41E-14	1.95E-06	7.46E-01	0.00%	7.76%	FAD dependent oxidoreductase=57; Sarcosine oxidase=38; sarcosine oxidase=11; Fructosyl amino acid=2; to sarcosine oxidase=2; Fructosyl amino acid oxidase=1; Glucose inhibited division protein A=1; sarcosine oxidase activity=1	FAD dependent oxidoreductase	Redox	E=113	
HOG0010862	4.62E-01	2.47E-11	3.54E-06	6.75E-01	0.00%	9.72%	Mo-co oxidoreductase dimerisation domain=24; sulfite oxidase=15; Oxidoreductase molybdopterin binding domain=13; Sulfite oxidase=9; Oxidoreductase molybdopterin binding domain-containing protein=8; Nitrate reductase 1=2; Molybdopterin binding oxidoreductase=1	Mo-co oxidoreductase dimerisation domain	Redox	C=72	
HOG0025535	2.88E-01	4.71E-08	3.94E-06	6.45E-01	0.55%	0.55%	Glutathione S-transferase, C-terminal domain=15; Glutathione S-transferase, N-terminal domain=10; glutathione s-transferase=10; Glutathione S-transferase=7; Belongs to the GST superfamily=7; Major Facilitator Superfamily=1; glutathione transferase activity=1; Glutathione S-Transferase=1	Glutathione S-transferase, C-terminal domain	Redox	O=41; H=10; U=1	
HOG0035202	1.52E-01	7.20E-07	1.11E-08	9.35E-01	0.00%	92.31%	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain=6; -=4; NAD(P)H-binding=1	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	Regulatory	S=7; -=4	
HOG0025642	4.39E-01	8.10E-14	8.88E-08	7.99E-01	0.00%	6.59%	F-box domain protein=36; -=17; F-box domain=3; F-box domain-containing protein=2; Major Facilitator Superfamily=2; A Receptor for Ubiquitination Targets=1	F-box domain protein	Regulatory	S=44; -=17	
HOG0033713	2.05E-01	5.99E-08	1.04E-07	9.72E-01	0.00%	2.70%	zinc finger protein 585a=12; DNA polymerase epsilon=7; -=4; Tyrosinase central domain containing protein=1	zinc finger protein 585a	Regulatory	S=19; -=4; E=1	
HOG0030835	4.70E-01	9.02E-16	4.60E-07	7.99E-01	0.00%	4.29%	F-box domain-containing protein=33; F-box domain=15; F-box domain protein=6; -=1; Conserved hypothetical protein=1; A Receptor for Ubiquitination Targets=1	F-box domain-containing protein	Regulatory	S=56; -=1	
HOG0035483	1.74E-01	1.73E-07	1.46E-06	9.01E-01	0.00%	7.69%	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain=6; Transcription factor=2; btb poz domain protein=1	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	Regulatory	S=8; K=1	
HOG0031180	2.20E-01	2.02E-07	1.86E-06	7.28E-01	0.00%	6.45%	F-box domain containing protein=16; -=7; Small nucleolar ribonucleoprotein complex subunit=1	F-box domain containing protein	Regulatory	S=17; -=7	
HOG0031220	3.56E-01	6.82E-10	2.41E-06	6.73E-01	0.00%	12.90%	Fungal specific transcription factor domain=22; Transcription factor=19; C6 transcription factor=9; -=8; fungal specific transcription factor=4	Fungal specific transcription factor domain	Regulatory	S=54; -=8	
HOG0008607	1.74E-01	2.83E-06	2.56E-06	1.05E+00	0.00%	1.85%	basic region leucin zipper=14; BZIP transcription factor=7; Basic region leucine zipper=3; Transcription factor=3; bZIP transcription factor=3; to Saccharomyces cerevisiae ACA1 (YER045C) and CST6 (YIL036W)=1; DNA-binding transcription factor activity=1	basic region leucin zipper	Regulatory	K=31; A=1	
HOG0029632	3.94E-01	3.18E-11	2.86E-06	7.35E-01	0.00%	6.59%	F-box-like=25; F-box domain-containing protein=21; -=16	F-box-like	Regulatory	S=46; -=16	
HOG0025036	5.15E-01	3.07E-17	3.22E-06	8.20E-01	0.00%	8.08%	fungal specific transcription factor=47; -=42; Fungal specific transcription factor domain=34; Fungal specific transcription factor=15; c6 transcription factor=14; GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain=7; Transcription factor=3; GPI transamidase component PIG-U=1	fungal specific transcription factor	Regulatory	L=89; -=42; K=15; B=15; S=1; Q=1	
HOG0019140	6.29E-01	1.09E-22	3.35E-06	8.78E-01	0.37%	11.94%	C6 zinc finger=77; GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain=54; -=30; Fungal specific transcription factor domain=28; C6 finger domain protein=12; Regulator of G protein signaling domain=1; zinc finger domain protein=1; Cytochrome p-450=1	C6 zinc finger	Regulatory	L=86; K=40; B=34; -=30; S=12; P=1; Q=1	
HOG0025756	4.39E-01	2.62E-12	3.46E-06	6.86E-01	0.00%	18.54%	lysr family regulatory protein=119; -=19; Transferase family=9; Lysr family regulatory protein=3; hydrolase family 92=1; Pfam:DUF2424=1; Carbohydrate esterase family 9=1	lysr family regulatory protein	Regulatory	S=130; -=19; E=1; G=1; I=1; Q=1	
HOG0040500	7.58E-02	1.84E-03	4.22E-06	1.06E+00	0.00%	35.71%	Fungal specific transcription factor domain=4; -=2	Fungal specific transcription factor domain	Regulatory	S=4; -=2	
HOG0032322	1.97E-01	5.40E-07	2.25E-10	9.62E-01	94.00%	94.00%	Trichodiene synthase (TRI5)=23; longiborneol synthase=7; Longiborneol synthase=6; Terpenoid synthase=3; terpenoid synthase=1	Trichodiene synthase (TRI5)	Terpene synthase	S=36; G=4	
HOG0029427	3.41E-01	1.08E-12	1.94E-08	8.01E-01	1.08%	13.98%	Terpene synthase family protein=29; Belongs to the terpene synthase family=18; Polyprenyl synthetase=11; ent-copalyl diphosphate synthase activity=8; -=1; terpene synthase family protein=1	Terpene synthase family protein	Terpene synthase	S=55; H=11; -=1; E=1	
HOG0028373	3.64E-01	1.34E-08	7.42E-07	6.50E-01	89.11%	92.08%	Terpene synthase family, metal binding domain=37; Terpene synthase metal binding domain protein=25; Terpenoid synthase=11; -=2; and Ankyrin domain protein=2; Terpene synthase metal binding=2; PFAM Terpene synthase metal-binding domain protein=1; terpene synthase activity=1; synthase=1	Terpene synthase family, metal binding domain	Terpene synthase	S=77; E=2; -=2; T=1	
HOG0029657	3.64E-01	1.14E-11	7.90E-07	7.01E-01	50.00%	54.76%	Terpene synthase family, metal binding domain=24; Terpene synthase=24; Amidase=3; synthase=1	Terpene synthase family, metal binding domain	Terpene synthase	S=49; I=3; J=3; T=3	
HOG0010242	2.95E-01	1.38E-08	7.00E-07	7.55E-01	0.00%	10.29%	Organic solute transporter Ostalpha=47; negative regulation of brassinosteroid mediated signaling pathway=2	Organic solute transporter Ostalpha	Transport	T=46; S=3	
HOG0007362	3.26E-01	1.51E-08	8.09E-07	7.05E-01	0.00%	21.67%	POT family=29; )transporter=21; oligopeptide transporter=6; Transporter=2; Peptide transporter=1; transmembrane transporter activity=1	POT family	Transport	P=31; E=29	
HOG0035985	9.85E-02	6.32E-04	1.05E-06	9.85E-01	0.00%	29.17%	CorA-like Mg2+ transporter protein=6; -=2	CorA-like Mg2+ transporter protein	Transport	S=6; -=2	
HOG0001893	3.41E-01	6.26E-07	3.24E-06	6.19E-01	0.00%	1.64%	Major Facilitator Superfamily=46; Major facilitator superfamily transporter=1	Major Facilitator Superfamily	Transport	S=40; G=7	
HOG0006886	5.23E-01	3.29E-17	3.40E-06	7.32E-01	0.00%	11.72%	Major Facilitator Superfamily=88; integral membrane protein=33; Conserved hypothetical protein=8; Integral membrane protein=5; Major facilitator superfamily transporter=3; Transporter=2; Protein of unknown function (DUF3431)=1	Major Facilitator Superfamily	Transport	U=139; S=1	
