name	gca	clade	bgcome_size	genome_size	cazy_count	protein_count
Violaceomyces_GCA_003144235.1	GCA_003144235	Other	406239	27248639	199	8058
Acaromyces_GCF_003144295.1	GCA_003144295	Other	1018648	19314861	234	8026
Pleurotus_GCA_003313735.1	GCA_003313735	Agaricomycetes	1516745	38201413	448	11981
Sarcodon_GCA_003313825.1	GCA_003313825	Agaricomycetes	867279	34490643	244	10821
Hygrophorus_GCA_003314125.1	GCA_003314125	Agaricomycetes	445025	25767417	181	8113
Albatrellus_GCA_003314395.1	GCA_003314395	Agaricomycetes	314300	113861943	181	11540
Coprinus_GCA_003316025.1	GCA_003316025	Agaricomycetes	765022	29139504	361	8901
Thelephora_GCA_003316405.1	GCA_003316405	Agaricomycetes	306527	26416793	150	9352
Hericium_GCA_003675405.1	GCA_003675405	Agaricomycetes	1556226	55905675	396	14518
Saitozyma_GCA_003942215.1	GCA_003942215	Other	291366	29888215	363	10224
Quambalaria_GCA_004016185.1	GCA_004016185	Other	586321	23304799	153	6681
Candolleomyces_GCA_004126415.1	GCA_004126415	Agaricomycetes	720353	60557423	462	14703
Steccherinum_GCA_004332605.1	GCA_004332605	Agaricomycetes	1925954	35258958	389	12260
Ceraceosorus_GCA_900000165.1	GCA_900000165	Other	903100	24178739	178	7968
Thecaphora_GCA_900291925.1	GCA_900291925	Other	470550	20591595	158	5596
